code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""anticoagulants""",
"""17216""",UNKNOWN,true,"58	""HEPARIN SOD. 25000U/ML 0.2ML PF INJ""	""Heparin""	NA	""Solution for injection""	""Intramuscular""	""Unknown""	""Heparin""",
"""45911""",UNKNOWN,true,"2	""Arixtra 1.5mg/0.3ml solution for injection pre-filled syringes (Viatris UK Healthcare Ltd)""	""Fondaparinux""	""5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Fondaparinux""",
"""13270""",UNKNOWN,true,"21319	""Enoxaparin sodium 120mg/0.8ml solution for injection pre-filled syringes""	""Enoxaparin""	""150mg/1ml""	""Solution for injection""	""Intraarterial/Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""76708""",UNKNOWN,true,"89	""Arovi 100mg/1ml solution for injection pre-filled syringes (ROVI Biotech Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""79457""",UNKNOWN,true,"1	""Warfarin 3mg capsules""	""Warfarin""	""3mg""	""Oral capsule""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""13210""",UNKNOWN,true,"14586	""Enoxaparin sodium 80mg/0.8ml solution for injection pre-filled syringes""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""13644""",UNKNOWN,true,"1766	""Dindevan 25mg Tablet (Goldshield Pharmaceuticals Ltd)""	""Phenindione""	""25mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Phenindione""",
"""5046""",UNKNOWN,true,"6088	""Hepsal 50units/5ml patency solution ampoules (Wockhardt UK Ltd)""	""Heparin""	""10unit/1ml""	""Not applicable""	""Route of administration not applicable""	""Catheter Maintenance Solutions""	""Heparin""",
"""55604""",UNKNOWN,true,"1	""Orgaran 750units/0.6ml solution for injection ampoules (Aspen Pharma Trading Ltd)""	""Danaparoid""	""1250unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Danaparoid""",
"""63101""",UNKNOWN,true,"1449	""Tinzaparin sodium 8,000units/0.4ml solution for injection pre-filled syringes""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""51642""",UNKNOWN,true,"3	""Clexane 100mg/1ml solution for injection pre-filled syringes (Lexon (UK) Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""42474""",UNKNOWN,true,"360	""Pradaxa 75mg capsules (Boehringer Ingelheim Ltd)""	""Dabigatran etexilate""	""75mg""	""Oral capsule""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Dabigatran etexilate""",
"""55096""",UNKNOWN,true,"25	""Fragmin 5,000units/0.2ml solution for injection pre-filled syringes (Waymade Healthcare Plc)""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""47925""",UNKNOWN,true,"106	""Xarelto 20mg tablets (Bayer Plc)""	""Rivaroxaban""	""20mg""	""Oral tablet""	""Oral""	""Unknown""	""Rivaroxaban""",
"""71132""",UNKNOWN,true,"64	""Clexane 20mg/0.2ml solution for injection pre-filled syringes (DE Pharmaceuticals)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""54234""",UNKNOWN,true,"3	""Heparin sodium 1,000units/500ml infusion Viaflex bags (Baxter Healthcare Ltd)""	""Heparin""	""2unit/1ml""	""Infusion""	""Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""34095""",UNKNOWN,true,"2379	""Warfarin wbp 5mg Tablet (Boehringer Ingelheim Ltd)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""56314""",UNKNOWN,true,"1	""Warfarin 3mg tablets (Kent Pharma (UK) Ltd)""	""Warfarin""	""3mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""50000""",UNKNOWN,true,"0	""Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd)""	""Warfarin""	""1mg/1ml""	""Oral suspension""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""76358""",UNKNOWN,true,"1	""Arixtra 10mg/0.8ml solution for injection pre-filled syringes (Viatris UK Healthcare Ltd)""	""Fondaparinux""	""12.5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Fondaparinux""",
"""45""",UNKNOWN,true,"10407630	""Warfarin 1mg tablets""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""37616""",UNKNOWN,true,"157	""Heparin sodium 10 unit/ml Solution""	""Heparin""	""10 unit/ml""	""Solution""	NA	""Parenteral Anticoagulants""	""Heparin""",
"""85413""",UNKNOWN,true,"374	""Rivaroxaban 1mg/ml granules for oral suspension sugar free""	""Rivaroxaban""	""1mg/1ml""	""Granules for oral suspension""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""71746""",UNKNOWN,true,"951	""Inhixa 80mg/0.8ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""88627""",UNKNOWN,true,"18	""Apixaban 2.5mg tablets (Sandoz Ltd)""	""Apixaban""	""2.5mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Apixaban""",
"""4995""",UNKNOWN,true,"4782	""Enoxaparin 100mg/ml injection""	""Enoxaparin""	""100mg/ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""13505""",UNKNOWN,true,"14057	""Phenindione 10mg tablets""	""Phenindione""	""10mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Phenindione""",
"""70831""",UNKNOWN,true,"28	""Phenindione 50mg tablets (Advanz Pharma)""	""Phenindione""	""50mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Phenindione""",
"""82541""",UNKNOWN,true,"27	""Clexane 40mg/0.4ml solution for injection pre-filled syringes (Waymade Healthcare Plc)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""68667""",UNKNOWN,true,"342	""Warfarin 5mg capsules""	""Warfarin""	""5mg""	""Oral capsule""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""56166""",UNKNOWN,true,"3	""Heparin sodium 100units/1ml solution for injection ampoules""	""Heparin""	""100unit/1ml""	""Solution for injection""	""Route of administration not applicable""	""Parenteral Anticoagulants""	""Heparin""",
"""23078""",UNKNOWN,true,"25825	""Warfarin 1mg Tablet (WB Pharmaceuticals Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""26023""",UNKNOWN,true,"9	""Bemiparin sodium 3,500units/0.2ml solution for injection pre-filled syringes""	""Bemiparin""	""17500unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Bemiparin""",
"""34019""",UNKNOWN,true,"3883	""Warfarin 1mg tablets (IVAX Pharmaceuticals UK Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""46924""",UNKNOWN,true,"10	""Phenindione 10mg tablets (Advanz Pharma)""	""Phenindione""	""10mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Phenindione""",
"""73907""",UNKNOWN,true,"0	""Heparin sodium 10,000units/10ml solution for injection ampoules (Kent Pharma (UK) Ltd)""	""Heparin""	""1000unit/1ml""	""Solution for injection""	""Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""85714""",UNKNOWN,true,"2	""Warfarin 1mg/5ml oral solution""	""Warfarin""	""200microgram/1ml""	""Oral solution""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""64678""",UNKNOWN,true,"458324	""Edoxaban 60mg tablets""	""Edoxaban""	""60mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Edoxaban""",
"""71386""",UNKNOWN,true,"4	""Warfarin 1mg/5ml oral solution (Special Order)""	""Warfarin""	""200microgram/1ml""	""Oral solution""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""50994""",UNKNOWN,true,"1	""Heparin sodium 500units/500ml infusion bags""	""Heparin""	""1unit/1ml""	""Infusion""	""Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""69194""",UNKNOWN,true,"1	""Heparin low molecular weight 5000iu/0.2ml Sterile solution""	""Heparin""	""5000iu/0.2ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Heparin""",
"""54066""",UNKNOWN,true,"2172046	""Apixaban 5mg tablets""	""Apixaban""	""5mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Apixaban""",
"""46101""",UNKNOWN,true,"7850	""Heparin sodium 50units/5ml patency solution ampoules""	""Heparin""	""10unit/1ml""	""Not applicable""	""Route of administration not applicable""	""Catheter Maintenance Solutions""	""Heparin""",
"""34576""",UNKNOWN,true,"31	""Warfarin 1mg Tablet (Lagap)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""54451""",UNKNOWN,true,"1376634	""Rivaroxaban 20mg tablets""	""Rivaroxaban""	""20mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""15376""",UNKNOWN,true,"270	""Acenocoumarol 4mg tablets""	""Acenocoumarol""	""4mg""	""Tablets""	""Oral""	""Oral Anticoagulants""	""Acenocoumarol""",
"""32645""",UNKNOWN,true,"5	""Heparin sodium 25,000iu/ml Injection""	""Heparin""	""25,000iu/ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Heparin""",
"""54892""",UNKNOWN,true,"0	""Warfarin 1mg/ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd)""	""Warfarin""	""1mg/1ml""	""Oral suspension""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""47207""",UNKNOWN,true,"12129	""Rivaroxaban 20mg tablets""	""Rivaroxaban""	""20mg""	""Oral tablet""	""Oral""	""Unknown""	""Rivaroxaban""",
"""23579""",UNKNOWN,true,"659	""Fondaparinux sodium 2.5mg/0.5ml solution for injection pre-filled syringes""	""Fondaparinux""	""5mg/1ml""	""Solution for injection""	""Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Fondaparinux""",
"""57204""",UNKNOWN,true,"3	""Heparin calcium 5,000units/0.2ml solution for injection pre-filled syringes""	""Heparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Unknown""	""Heparin""",
"""28506""",UNKNOWN,true,"1	""Heparin low molecular weight 3500 iu/0.3ml Sterile solution""	""Heparin/Tinzaparin""	""3500 iu/0.3ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Heparin/Tinzaparin""",
"""32577""",UNKNOWN,true,"17	""Bemiparin sodium 2,500units/0.2ml solution for injection pre-filled syringes""	""Bemiparin""	""12500unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Bemiparin""",
"""66286""",UNKNOWN,true,"1	""Warfarin 2.5mg/5ml oral solution""	""Warfarin""	""500microgram/1ml""	""Oral solution""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""10819""",UNKNOWN,true,"115	""HEPARIN SODIUM 100 IU/ML INJ""	""Heparin""	NA	""Solution for injection""	""Intramuscular""	""Unknown""	""Heparin""",
"""5998""",UNKNOWN,true,"1003	""Fragmin 10,000 iu/ml Solution for injection (Pfizer Ltd)""	""Dalteparin""	""10,000 iu/ml""	""Solution For Injection""	""Subcutaneous Injection""	""Parenteral Anticoagulants""	""Dalteparin""",
"""25155""",UNKNOWN,true,"254	""Fragmin 100,000units/4ml solution for injection vials (Pfizer Ltd)""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""71661""",UNKNOWN,true,"311	""Inhixa 20mg/0.2ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""74257""",UNKNOWN,true,"10	""Enoxaparin Becat 60mg/0.6ml solution for injection pre-filled syringes (ROVI Biotech Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""6695""",UNKNOWN,true,"7065	""Dalteparin sodium 2,500units/0.2ml solution for injection pre-filled syringes""	""Dalteparin""	""12500unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""13663""",UNKNOWN,true,"976	""Innohep 20000 iu/ml Injection (LEO Pharma)""	""Tinzaparin""	""20000 iu/ml""	""Injection""	""Subcutaneous Injection""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""9605""",UNKNOWN,true,"41709	""Dalteparin sodium 5,000units/0.2ml solution for injection pre-filled syringes""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""90634""",UNKNOWN,true,"807	""Rivaroxaban 20mg capsules""	""Rivaroxaban""	""20mg""	""Oral capsule""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""91681""",UNKNOWN,true,"170	""Warfarin 5mg tablets (Phoenix Healthcare Distribution Ltd)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""48070""",UNKNOWN,true,"119	""Warfarin sodium tablets""	""Warfarin""	NA	""Tablets""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""39866""",UNKNOWN,true,"82	""Warfarin 1mg tablets (Almus Pharmaceuticals Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""36172""",UNKNOWN,true,"275	""Clexane 300mg/3ml solution for injection multidose vials (Sanofi)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""51509""",UNKNOWN,true,"3	""Warfarin 1mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""65247""",UNKNOWN,true,"247163	""Edoxaban 30mg tablets""	""Edoxaban""	""30mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Edoxaban""",
"""21233""",UNKNOWN,true,"278	""Innohep 20,000units/2ml solution for injection vials (LEO Pharma)""	""Tinzaparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""66529""",UNKNOWN,true,"277	""Lixiana 30mg tablets (Daiichi Sankyo UK Ltd)""	""Edoxaban""	""30mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Edoxaban""",
"""55805""",UNKNOWN,true,"1	""Bemiparin sodium 10,000units/0.4ml solution for injection pre-filled syringes""	""Bemiparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Unknown""	""Bemiparin""",
"""75798""",UNKNOWN,true,"48	""Arovi 20mg/0.2ml solution for injection pre-filled syringes (ROVI Biotech Ltd)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""53350""",UNKNOWN,true,"4	""Heparin sodium 1,000units/500ml infusion bags""	""Heparin""	""2unit/1ml""	""Infusion""	""Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""63071""",UNKNOWN,true,"1	""Warfarin 4mg tablets""	""Warfarin""	""4mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""80297""",UNKNOWN,true,"5	""Epoprostenol 500microgram powder (pH12) for solution for infusion vials""	""Epoprostenol""	""500microgram""	""Powder for solution for infusion""	""Intravenous""	""Parenteral Anticoagulants""	""Epoprostenol""",
"""51484""",UNKNOWN,true,"2	""Warfarin 1mg tablets (Bristol Laboratories Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""53740""",UNKNOWN,true,"837	""Eliquis 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)""	""Apixaban""	""2.5mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Apixaban""",
"""27325""",UNKNOWN,true,"34	""Innohep 2,500units/0.25ml solution for injection pre-filled syringes (LEO Pharma)""	""Tinzaparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""30202""",UNKNOWN,true,"7397	""Warfarin wbp 1mg Tablet (Boehringer Ingelheim Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""16476""",UNKNOWN,true,"16710	""Fragmin 18,000units/0.72ml solution for injection pre-filled syringes (Pfizer Ltd)""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""17484""",UNKNOWN,true,"310	""Innohep 10,000 IU/ml Injection (LEO Pharma)""	""Tinzaparin""	""10,000 IU/ml""	""Injection""	""Subcutaneous Injection""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""52841""",UNKNOWN,true,"53	""Heparin calcium 5,000units/0.2ml solution for injection ampoules""	""Heparin""	""25000unit/1ml""	""Solution for injection""	""Intravenous/Subcutaneous""	""Parenteral Anticoagulants""	""Heparin""",
"""34918""",UNKNOWN,true,"22	""Warfarin 5mg tablets (Accord-UK Ltd)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""85094""",UNKNOWN,true,"0	""Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes (Colorama Pharmaceuticals Ltd)""	""Dalteparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""21490""",UNKNOWN,true,"50	""Monoparin 5000iu/ml Injection (C P Pharmaceuticals Ltd)""	""Heparin""	""5000iu/ml""	""Injection""	""Subcutaneous Injection""	""Parenteral Anticoagulants""	""Heparin""",
"""64581""",UNKNOWN,true,"91	""Innohep 8,000units/0.4ml solution for injection pre-filled syringes (LEO Pharma)""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""34416""",UNKNOWN,true,"48	""Warfarin 1mg tablets (Kent Pharma (UK) Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""48673""",UNKNOWN,true,"278	""Dalteparin sodium 10,000units/1ml solution for injection ampoules""	""Dalteparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""90401""",UNKNOWN,true,"1	""Dabigatran etexilate 150mg granules sachets sugar free""	""Dabigatran etexilate""	""150mg""	""Oral granules""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Dabigatran etexilate""",
"""29318""",UNKNOWN,true,"5	""Heparin low molecular weight 2500 iu/ml Sterile solution""	""Dalteparin/Heparin""	""2500 iu/ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Dalteparin/Heparin""",
"""39639""",UNKNOWN,true,"208	""Xarelto 10mg tablets (Bayer Plc)""	""Rivaroxaban""	""10mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""23570""",UNKNOWN,true,"735	""Fondaparinux sodium 7.5mg/0.6ml solution for injection pre-filled syringes""	""Fondaparinux""	""12.5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Fondaparinux""",
"""21316""",UNKNOWN,true,"309	""Innohep 40,000units/2ml solution for injection vials (LEO Pharma)""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""30895""",UNKNOWN,true,"7	""TINZAPARIN UNIT DOSE SYRINGE 10000 IU/ML""	""Tinzaparin""	NA	""Solution for injection""	""Intramuscular""	""Unknown""	""Tinzaparin""",
"""34086""",UNKNOWN,true,"328	""Warfarin 3mg Tablet (Celltech Pharma Europe Ltd)""	""Warfarin""	""3mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""88921""",UNKNOWN,true,"1	""Tinzaparin sodium 2,500units/0.25ml solution for injection pre-filled syringes (LEO Pharma)""	""Tinzaparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""17004""",UNKNOWN,true,"1418	""Tinzaparin sodium 20,000units/2ml solution for injection vials""	""Tinzaparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""46632""",UNKNOWN,true,"109565	""Dabigatran etexilate 150mg capsules""	""Dabigatran etexilate""	""150mg""	""Oral capsule""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Dabigatran etexilate""",
"""65746""",UNKNOWN,true,"0	""Warfarin 500microgram tablets (DE Pharmaceuticals)""	""Warfarin""	""500microgram""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""77287""",UNKNOWN,true,"1	""Epoprostenol 1.5mg powder and solvent for solution for infusion vials""	""Epoprostenol""	""1.5mg""	""Powder and solvent for solution for infusion""	""Intravenous""	""Parenteral Anticoagulants""	""Epoprostenol""",
"""28593""",UNKNOWN,true,"8	""Heparin sodium 1000iu/ml pre-filled Injection""	""Heparin""	""1000iu/ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Heparin""",
"""34088""",UNKNOWN,true,"377	""Warfarin 5mg Tablet (Celltech Pharma Europe Ltd)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""10004""",UNKNOWN,true,"18432	""Clexane 80mg/0.8ml solution for injection pre-filled syringes (Sanofi)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""74132""",UNKNOWN,true,"3	""Epoprostenol 500microgram powder and solvent for solution for infusion vials""	""Epoprostenol""	""500microgram""	""Powder and solvent for solution for infusion""	""Intravenous""	""Parenteral Anticoagulants""	""Epoprostenol""",
"""71196""",UNKNOWN,true,"3	""Warfarin 1.5mg/5ml oral solution""	""Warfarin""	""300microgram/1ml""	""Oral solution""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""83471""",UNKNOWN,true,"69	""Warfarin 5mg tablets (Zentiva Pharma UK Ltd)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""43408""",UNKNOWN,true,"970	""Warfarin 1mg tablets (A A H Pharmaceuticals Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""10240""",UNKNOWN,true,"24169	""Tinzaparin sodium 14,000units/0.7ml solution for injection pre-filled syringes""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""833""",UNKNOWN,true,"426	""Warfarin 3mg/5ml oral solution""	""Warfarin""	""600microgram/1ml""	""Oral solution""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""90753""",UNKNOWN,true,"218	""Rivaroxaban 10mg capsules""	""Rivaroxaban""	""10mg""	""Oral capsule""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""7371""",UNKNOWN,true,"31549	""Clexane 100mg/1ml solution for injection pre-filled syringes (Sanofi)""	""Enoxaparin""	""100mg/1ml""	""Solution for injection""	""Intravenous/Intraarterial/Subcutaneous""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""34299""",UNKNOWN,true,"17651	""Warfarin 1mg tablets (Teva UK Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""17007""",UNKNOWN,true,"719	""Tinzaparin sodium 2,500units/0.25ml solution for injection pre-filled syringes""	""Tinzaparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""39119""",UNKNOWN,true,"85366	""Rivaroxaban 10mg tablets""	""Rivaroxaban""	""10mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""14099""",UNKNOWN,true,"931	""Clexane forte 150mg/ml Injection (Aventis Pharma)""	""Enoxaparin""	""150mg/ml""	""Injection""	""Subcutaneous Deep Injection""	""Parenteral Anticoagulants""	""Enoxaparin""",
"""36911""",UNKNOWN,true,"423	""Fragmin 10,000units/1ml solution for injection ampoules (Pfizer Ltd)""	""Dalteparin""	""10000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""63297""",UNKNOWN,true,"0	""Heparin sodium 5,000units/5ml solution for injection vials (LEO Pharma)""	""Heparin""	""1000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""62856""",UNKNOWN,true,"5043	""Tinzaparin sodium 12,000units/0.6ml solution for injection pre-filled syringes""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""20029""",UNKNOWN,true,"105	""Multiparin 25,000units/5ml solution for injection vials (Wockhardt UK Ltd)""	""Heparin""	""5000unit/1ml""	""Solution for injection""	""Subcutaneous/Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""43655""",UNKNOWN,true,"1	""Warfarin sodium oral solution""	""Warfarin""	NA	""Oral Liquid""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""15709""",UNKNOWN,true,"26	""Tinzaparin 3500 IU/0.3ml Sterile solution""	""Tinzaparin""	""3500 IU/0.3ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Tinzaparin""",
"""29317""",UNKNOWN,true,"15	""Tinzaparin 5000 i.u./0.5ml Sterile solution""	""Tinzaparin""	""5000 i.u./0.5ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Tinzaparin""",
"""75576""",UNKNOWN,true,"12	""Warfarin 3mg tablets (Arrow Generics Ltd)""	""Warfarin""	""3mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
