"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"anticoagulants"
"58594"	1650	"Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Apixaban"	"5mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Apixaban"
"42853"	20	"Heparin calcium 25,000iu/ml Injection"	"Heparin"	"25,000iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"63440"	3	"Epoprostenol 500microgram powder and solvent (pH10.5) for solution for infusion vials"	"Epoprostenol"	"500microgram"	"Powder and solvent for solution for infusion"	"Intravenous"	"Antifibrotics"	"Epoprostenol"
"34417"	14725	"Warfarin 3mg tablets (Teva UK Ltd)"	"Warfarin"	"3mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"56640"	740	"Xarelto 15mg tablets (Bayer Plc)"	"Rivaroxaban"	"15mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Rivaroxaban"
"10194"	21152	"Dalteparin sodium 12,500units/0.5ml solution for injection pre-filled syringes"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"3895"	359	"Heparin sodium 1000iu/ml Injection"	"Heparin"	"1000iu/ml"	"Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"88295"	0	"Heparin sodium 5,000units/1ml solution for injection ampoules (Panpharma UK Ltd)"	"Heparin"	"5000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"47633"	555	"Heparin sodium 200units/2ml I.V. flush solution ampoules (Wockhardt UK Ltd)"	"Heparin"	"100unit/1ml"	"Not applicable"	"Route of administration not applicable"	"Catheter Maintenance Solutions"	"Heparin"
"10533"	787	"Calciparine 25,000iu/ml Injection (Sanofi-Synthelabo Ltd)"	"Heparin"	"25,000iu/ml"	"Injection"	"Subcutaneous Injection"	"Parenteral Anticoagulants"	"Heparin"
"17049"	2225	"Innohep 18,000units/0.9ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"20000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Tinzaparin"
"2677"	9258	"Clexane 100mg/ml Injection (Aventis Pharma)"	"Enoxaparin"	"100mg/ml"	"Injection"	"Subcutaneous Deep Injection"	"Parenteral Anticoagulants"	"Enoxaparin"
"68795"	9	"Warfarin 1mg capsules"	"Warfarin"	"1mg"	"Oral capsule"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"35941"	104	"Heparin sodium 5,000units/5ml solution for injection ampoules"	"Heparin"	"1000unit/1ml"	"Solution for injection"	"Intravenous"	"Parenteral Anticoagulants"	"Heparin"
"71747"	896	"Inhixa 100mg/1ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"7307"	59655	"Clexane 40mg/0.4ml solution for injection pre-filled syringes (Sanofi)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"20010"	29	"Uniparin calcium 25,000iu/ml Subcutaneous injection (C P Pharmaceuticals Ltd)"	"Heparin"	"25,000iu/ml"	"Subcutaneous Injection"	"Intramuscular"	"Parenteral Anticoagulants"	"Heparin"
"73607"	11	"Enoxaparin Becat 80mg/0.8ml solution for injection pre-filled syringes (ROVI Biotech Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
"49578"	5479	"Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes"	"Dalteparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"34864"	2074	"Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"22428"	78	"Dalteparin sodium 100,000units/4ml solution for injection vials"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"29043"	62	"Arixtra 2.5mg/0.5ml solution for injection pre-filled syringes (Viatris UK Healthcare Ltd)"	"Fondaparinux"	"5mg/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Fondaparinux"
"11372"	2086	"Heparin 100iu/ml Flush solution"	"Heparin"	"100iu/ml"	"Flush Solution"	NA	"Parenteral Anticoagulants"	"Heparin"
